Blue Mastery 1,Blue Mastery 2,Blue Mastery 3,Blue Mastery 4,Blue Mastery 5,Blue Masteries Avg,Blue Masteries Median,Blue Masteries Kurtorsis,Blue Masteries Skewness,Blue Masteries Std,Blue Masteries Variance,Blue Winrate 1,Blue Winrate 2,Blue Winrate 3,Blue Winrate 4,Blue Winrate 5,Blue Winrates Avg,Blue Winrates Median,Blue Winrates Kurtorsis,Blue Winrates Skewness,Blue Winrates Std,Blue Winrates Variance,Red Mastery 1,Red Mastery 2,Red Mastery 3,Red Mastery 4,Red Mastery 5,Red Masteries Avg,Red Masteries Median,Red Masteries Kurtorsis,Red Masteries Skewness,Red Masteries Std,Red Masteries Variance,Red Winrate 1,Red Winrate 2,Red Winrate 3,Red Winrate 4,Red Winrate 5,Red Winrates Avg,Red Winrates Median,Red Winrates Kurtorsis,Red Winrates Skewness,Red Winrates Std,Red Winrates Variance,Blue Won
24712,65404,24333,72177,2329,37791.0,24712.0,-2.265332318409751,0.1956968584875752,26663.106398167485,710921242.8,0.0,0.5463917525773195,0.4878048780487805,0.5394736842105263,0.0,0.31473406296732526,0.4878048780487805,-3.2977106750011673,-0.5811212385389083,0.2577757747845122,0.06644835006575554,13136,60221,134759,24886,116515,69903.4,60221.0,-2.626840218107027,0.26001957534087194,48418.47370828618,2344348596.2400002,0.25,0.5581395348837209,0.4267241379310345,0.71875,0.5666666666666667,0.5040560678962844,0.5581395348837209,0.33196562436375254,-0.5041104660909163,0.15713898688040062,0.024692661197798716,0
314583,12555,32011,38488,92743,98076.0,38488.0,3.8246114176204244,1.9420483930267993,111474.55077101679,12426575469.6,0.5260273972602739,0.5,1.0,0.7142857142857143,0.38888888888888895,0.6258404000869755,0.5260273972602739,0.7751342742906631,1.1132398908134933,0.2143653144970885,0.04595248805943567,65677,182866,1224,82257,73142,81033.2,73142.0,2.2067615492220556,0.8146014436375134,58376.380776475,3407801832.5600004,0.72,0.4444444444444444,0.5,0.5625,0.4705882352941176,0.5395065359477125,0.5,1.9520268829837182,1.4514294162629346,0.09844174901256189,0.009690777948652229,1
7161,250742,88279,3660,261028,122174.0,88279.0,-3.062590101881157,0.3229951821072808,113342.48394137125,12846518666.0,1.0,0.6168831168831169,0.582089552238806,0.75,0.524390243902439,0.6946725826048724,0.6168831168831169,1.39156861549941,1.3295952674514038,0.1697104413443358,0.028801633901289238,49193,681178,533701,66952,327300,331664.8,327300.0,-2.3062225726375396,0.1877273521987811,250144.09401095202,62572067768.56,0.5454545454545454,0.5208791208791209,0.6008064516129032,0.5740740740740741,0.5035971223021583,0.5489622628645604,0.5454545454545454,-1.4593854945262152,0.2720853435197948,0.03514935530744607,0.0012354771785290871,1
68268,98326,1523562,369656,1872,412336.8,98326.0,3.986050618744871,1.9865509195285822,569580.6474052292,324422113898.55994,0.6020408163265306,0.4642857142857143,0.5601851851851852,0.517799352750809,0.6666666666666665,0.5621955470429811,0.5601851851851852,-0.4902146553992459,0.1583897294631691,0.06937327913928891,0.004812651858537699,42754,17289,7317,25160,14497,21403.4,17289.0,1.3030867976529414,1.10711305572099,12107.96000323754,146602695.44,0.5384615384615384,0.5357142857142857,0.5,1.0,1.0,0.7148351648351647,0.5384615384615384,-3.308477135270299,0.5928887647039832,0.23323124143053725,0.05439681197922956,0
6380,32342,65383,68903,2545835,543768.6,65383.0,4.989563576521303,2.2331327429020846,1001295.5273002271,1002592732991.4398,1.0,0.653061224489796,0.48,0.6,0.5567010309278351,0.6579524510835263,0.6,3.2430039248155156,1.6900440562040084,0.1801654025245282,0.03245957226682527,78717,392418,65714,67578,19287,124742.8,67578.0,4.585377243814806,2.1046491792679003,135382.0714147926,18328305260.56,0.6170212765957447,0.5311077389984825,0.0,0.4716981132075472,0.5384615384615384,0.43165773345266256,0.5311077389984825,4.178009726531707,-1.9906148046415264,0.22072092350042402,0.04871772607088003,1
58181,38837,227454,596701,17234,187681.4,58181.0,2.5548848770798376,1.6791870734293226,217649.35932513102,47371243614.64,0.5909090909090909,1.0,0.6226415094339622,0.5701357466063348,0.5833333333333334,0.6734039360565443,0.5909090909090909,4.773888597780045,2.1756677415102006,0.16420977123369973,0.026964848968624,50338,85744,21626,13354,120716,58355.6,50338.0,-1.3754495502380202,0.5595033287390175,40193.11724959884,1615486674.2400002,0.48148148148148145,0.4230769230769231,0.5263157894736842,0.6153846153846154,0.5714285714285714,0.5235374761690551,0.5263157894736842,-0.8954113899917289,-0.19976691686979378,0.06722827147680589,0.004519640485759113,1
2901,56153,415005,598941,13297,217259.4,56153.0,-1.8708384911089873,0.8352079818330607,244249.71749551725,59657924496.63999,0.2,0.7894736842105263,0.5932203389830508,0.5957446808510638,0.6666666666666665,0.5690210741422616,0.5957446808510638,2.975351991207946,-1.4862248746837723,0.1977929845878374,0.03912206475216448,10158,28433,559744,56986,99779,151020.0,56986.0,4.566642054212352,2.1193945875069735,206588.00402056263,42678603405.2,0.41666666666666674,0.25,0.5594262295081968,0.5,0.5918367346938775,0.4635859261737482,0.5,0.7360133162945921,-1.1098576986325523,0.12229471221121573,0.014955996634824076,1
131188,83514,79902,73325,44920,82569.8,79902.0,2.129489760557445,0.8394924819426557,27837.786581551343,774942361.76,0.5921052631578947,0.4523809523809524,0.4945054945054945,0.5428571428571428,0.5806451612903226,0.5324988028383614,0.5428571428571428,-1.600687477090041,-0.5007532900164284,0.052613037532432155,0.0027681317183891143,3787568,4882,740857,7022,55990,919263.8,55990.0,4.226983026803819,2.0483584294902872,1460994.100031126,2134503760325.7603,0.5095022624434389,0.0,0.5281501340482574,0.375,0.5,0.3825304792983393,0.5,3.4389641536638056,-1.8690886345890974,0.19875224857550133,0.03950245631381787,1
232701,153196,203090,17688,49814,131297.8,153196.0,-2.541999182682634,-0.2915861042401379,84217.64237118016,7092611286.559999,0.5271739130434783,0.5611814345991561,0.5333333333333333,0.7058823529411765,0.3050847457627119,0.5265311559359713,0.5333333333333333,2.122683315096369,-0.7107527098635303,0.12841548894997376,0.016490537802260834,1163,271312,899343,232721,61360,293179.8,232721.0,3.1380502785910522,1.6914810359333865,319556.4186064176,102116304672.55998,0.33333333333333326,0.6595744680851063,0.5454545454545454,0.5408163265306123,0.6,0.5358357346807195,0.5454545454545454,2.5436090569625645,-1.3745094207770545,0.11004805991549395,0.012110575491164146,0
1602941,20301,113566,60547,240594,407589.8,113566.0,4.689203266734156,2.153625447366104,602267.9475387678,362726680632.55994,0.5219435736677116,0.52,0.6231884057971014,0.36363636363636365,0.5625,0.5182536686202354,0.5219435736677116,2.2363673781119147,-1.1544872934506407,0.08589786141688144,0.007378442595993769,1408,30880,15965,30753,3589,16519.0,15965.0,-2.944473827653222,0.034075053046778325,12686.049140689942,160935842.8,1.0,1.0,0.9285714285714286,0.5769230769230769,1.0,0.9010989010989011,1.0,4.400372941327373,-2.0885797450574053,0.16443174075423425,0.027037797367467704,0
